antecedents,consequents,support,confidence,lift
frozenset({'Q11_1-3 years'}),"frozenset({'Q3_Man', 'Q5_Yes'})",0.13276659582447806,0.4932652113330237,1.341746234001198
"frozenset({'Q3_Man', 'Q5_Yes'})",frozenset({'Q11_1-3 years'}),0.13276659582447806,0.3611425980503287,1.341746234001198
frozenset({'Q5_Yes'}),frozenset({'Q11_1-3 years'}),0.17485519023211235,0.3508067887300393,1.3033457979802994
frozenset({'Q11_1-3 years'}),frozenset({'Q5_Yes'}),0.17485519023211235,0.6496361665892554,1.3033457979802994
frozenset({'Q5_No'}),frozenset({'Q9_Yes'}),0.14230945534858525,0.28373213692256566,1.2983829309173929
frozenset({'Q9_Yes'}),frozenset({'Q5_No'}),0.14230945534858525,0.6512204424103738,1.2983829309173929
"frozenset({'Q3_Man', 'Q11_1-3 years'})",frozenset({'Q5_Yes'}),0.13276659582447806,0.6467722289890377,1.2975999648064491
frozenset({'Q5_Yes'}),"frozenset({'Q3_Man', 'Q11_1-3 years'})",0.13276659582447806,0.26636568848758463,1.2975999648064491
frozenset({'Q8_Bachelor’s degree'}),frozenset({'Q16_Under 1 year'}),0.12122348626911697,0.3815081967213115,1.2678371689130745
frozenset({'Q16_Under 1 year'}),frozenset({'Q8_Bachelor’s degree'}),0.12122348626911697,0.4028527904722337,1.2678371689130745
frozenset({'Q16_Under 1 year'}),"frozenset({'Q3_Man', 'Q5_Yes'})",0.13901737717214652,0.46198587453261314,1.2566623250010336
"frozenset({'Q3_Man', 'Q5_Yes'})",frozenset({'Q16_Under 1 year'}),0.13901737717214652,0.3781455452278395,1.2566623250010336
frozenset({'Q5_Yes'}),frozenset({'Q11_< 1 years'}),0.14110097095470267,0.28308669843658557,1.2455503304698834
frozenset({'Q11_< 1 years'}),frozenset({'Q5_Yes'}),0.14110097095470267,0.6208287495416208,1.2455503304698834
frozenset({'Q5_Yes'}),frozenset({'Q16_Under 1 year'}),0.18627328416052005,0.3737145723601705,1.2419372099331134
frozenset({'Q16_Under 1 year'}),frozenset({'Q5_Yes'}),0.18627328416052005,0.6190278354798503,1.2419372099331132
"frozenset({'Q3_Man', 'Q5_Yes'})",frozenset({'Q8_Bachelor’s degree'}),0.14443472100679253,0.3928814327816822,1.2364558350769872
frozenset({'Q8_Bachelor’s degree'}),"frozenset({'Q3_Man', 'Q5_Yes'})",0.14443472100679253,0.45455737704918037,1.2364558350769872
"frozenset({'Q3_Man', 'Q16_Under 1 year'})",frozenset({'Q5_Yes'}),0.13901737717214652,0.6108771287310016,1.2255846884171764
frozenset({'Q5_Yes'}),"frozenset({'Q3_Man', 'Q16_Under 1 year'})",0.13901737717214652,0.27890644594933534,1.2255846884171764
frozenset({'Q5_Yes'}),frozenset({'Q8_Bachelor’s degree'}),0.1896070342126099,0.38040297633977094,1.1971842915705553
frozenset({'Q8_Bachelor’s degree'}),frozenset({'Q5_Yes'}),0.1896070342126099,0.5967213114754099,1.197184291570555
frozenset({'Q5_Yes'}),"frozenset({'Q3_Man', 'Q8_Bachelor’s degree'})",0.14443472100679253,0.289775102416186,1.1795984957898584
"frozenset({'Q3_Man', 'Q8_Bachelor’s degree'})",frozenset({'Q5_Yes'}),0.14443472100679253,0.5879558948261239,1.1795984957898582
frozenset({'Q5_No'}),"frozenset({'Q3_Man', 'Q8_Master’s degree'})",0.16414551818977371,0.32726819541375873,1.1269127400407475
"frozenset({'Q3_Man', 'Q8_Master’s degree'})",frozenset({'Q5_No'}),0.16414551818977371,0.5652173913043478,1.1269127400407473
frozenset({'Q5_Yes'}),frozenset({'Q3_Woman'}),0.12197358003083719,0.24471198060362848,1.110925728063805
frozenset({'Q3_Woman'}),frozenset({'Q5_Yes'}),0.12197358003083719,0.5537268255769958,1.1109257280638047
frozenset({'Q8_Master’s degree'}),"frozenset({'Q3_Man', 'Q5_No'})",0.16414551818977371,0.4308685189236491,1.0948275993869978
"frozenset({'Q3_Man', 'Q5_No'})",frozenset({'Q8_Master’s degree'}),0.16414551818977371,0.41709021601016516,1.0948275993869978
frozenset({'Q8_Master’s degree'}),frozenset({'Q5_No'}),0.20677584698087262,0.5427696346532488,1.082157105581091
frozenset({'Q5_No'}),frozenset({'Q8_Master’s degree'}),0.20677584698087262,0.41226321036889335,1.082157105581091
frozenset({'Q3_Man'}),"frozenset({'Q8_Master’s degree', 'Q5_No'})",0.16414551818977371,0.21564655644366582,1.0429001239376559
"frozenset({'Q8_Master’s degree', 'Q5_No'})",frozenset({'Q3_Man'}),0.16414551818977371,0.7938331318016928,1.0429001239376559
frozenset({'Q3_Man'}),frozenset({'Q16_1-2 years'}),0.1227236737925574,0.16122851198948868,1.040053925325742
frozenset({'Q16_1-2 years'}),frozenset({'Q3_Man'}),0.1227236737925574,0.7916666666666666,1.0400539253257417
frozenset({'Q3_Man'}),frozenset({'Q5_No'}),0.39354919364920615,0.5170261688382788,1.0308305893662493
frozenset({'Q5_No'}),frozenset({'Q3_Man'}),0.39354919364920615,0.7846460618145563,1.0308305893662493
frozenset({'Q5_No'}),"frozenset({'Q8_Master’s degree', 'Q9_No'})",0.13722548651914823,0.27359587902957794,1.0279443101726604
"frozenset({'Q8_Master’s degree', 'Q9_No'})",frozenset({'Q5_No'}),0.13722548651914823,0.5155785188664475,1.0279443101726604
frozenset({'Q3_Man'}),frozenset({'Q8_Bachelor’s degree'}),0.2456557069633704,0.3227307565969561,1.0156813070238893
frozenset({'Q8_Bachelor’s degree'}),frozenset({'Q3_Man'}),0.2456557069633704,0.7731147540983606,1.0156813070238893
frozenset({'Q9_No'}),frozenset({'Q5_No'}),0.150685502354461,0.5080792468736828,1.0129924964463082
frozenset({'Q5_No'}),frozenset({'Q9_No'}),0.150685502354461,0.30043203722166834,1.0129924964463082
frozenset({'Q3_Man'}),frozenset({'Q9_Yes'}),0.16777097137142144,0.22040950399649625,1.0086130563317925
frozenset({'Q9_Yes'}),frozenset({'Q3_Man'}),0.16777097137142144,0.7677345537757437,1.0086130563317925
frozenset({'Q11_1-3 years'}),frozenset({'Q3_Man'}),0.20527565945743217,0.7626567580120762,1.0019420903326286
frozenset({'Q3_Man'}),frozenset({'Q11_1-3 years'}),0.20527565945743217,0.2696813752326727,1.0019420903326286
frozenset({'Q3_Man'}),frozenset({'Q8_Master’s degree'}),0.29041130141267657,0.38152852293879336,1.0014810725182919
frozenset({'Q8_Master’s degree'}),frozenset({'Q3_Man'}),0.29041130141267657,0.7623058411726099,1.0014810725182919
"frozenset({'Q5_Yes', 'Q8_Bachelor’s degree'})",frozenset({'Q3_Man'}),0.14443472100679253,0.7617582417582418,1.0007616625135514
frozenset({'Q3_Man'}),"frozenset({'Q5_Yes', 'Q8_Bachelor’s degree'})",0.14443472100679253,0.1897514507828753,1.0007616625135514
"frozenset({'Q11_1-3 years', 'Q5_Yes'})",frozenset({'Q3_Man'}),0.13276659582447806,0.7592945662535748,0.9975250030869942
frozenset({'Q3_Man'}),"frozenset({'Q11_1-3 years', 'Q5_Yes'})",0.13276659582447806,0.17442242417606482,0.9975250030869941
frozenset({'Q16_Under 1 year'}),frozenset({'Q3_Man'}),0.22757011293078303,0.7562664450907076,0.9935468018636653
frozenset({'Q3_Man'}),frozenset({'Q16_Under 1 year'}),0.22757011293078303,0.2989707653563999,0.9935468018636653
frozenset({'Q3_Man'}),"frozenset({'Q8_Master’s degree', 'Q9_No'})",0.20019169062799516,0.263002299353991,0.988142504712341
"frozenset({'Q8_Master’s degree', 'Q9_No'})",frozenset({'Q3_Man'}),0.20019169062799516,0.752152810396117,0.988142504712341
frozenset({'Q5_Yes'}),frozenset({'Q9_No'}),0.14589323665458181,0.2927012791572611,0.9869260356803139
frozenset({'Q9_No'}),frozenset({'Q5_Yes'}),0.14589323665458181,0.4919207531263172,0.9869260356803139
frozenset({'Q9_No'}),frozenset({'Q3_Man'}),0.2225278159769971,0.7503161444428832,0.9857295805428593
frozenset({'Q3_Man'}),frozenset({'Q9_No'}),0.2225278159769971,0.2923464360013139,0.9857295805428592
frozenset({'Q3_Man'}),"frozenset({'Q16_Under 1 year', 'Q5_Yes'})",0.13901737717214652,0.18263440271542758,0.9804648237051713
"frozenset({'Q16_Under 1 year', 'Q5_Yes'})",frozenset({'Q3_Man'}),0.13901737717214652,0.7463087248322148,0.9804648237051713
"frozenset({'Q8_Master’s degree', 'Q9_No'})",frozenset({'Q5_Yes'}),0.12893278326457475,0.48442148113355255,0.9718804684191841
frozenset({'Q5_Yes'}),"frozenset({'Q8_Master’s degree', 'Q9_No'})",0.12893278326457475,0.2586740239110442,0.971880468419184
frozenset({'Q5_Yes'}),frozenset({'Q3_Man'}),0.3676292869942076,0.7375637488504305,0.9689760911619283
frozenset({'Q3_Man'}),frozenset({'Q5_Yes'}),0.3676292869942076,0.4829738311617212,0.9689760911619283
"frozenset({'Q8_Master’s degree', 'Q5_Yes'})",frozenset({'Q3_Man'}),0.12626578322290286,0.7248803827751196,0.952313289469755
frozenset({'Q3_Man'}),"frozenset({'Q8_Master’s degree', 'Q5_Yes'})",0.12626578322290286,0.16588196649512754,0.9523132894697549
frozenset({'Q11_< 1 years'}),frozenset({'Q3_Man'}),0.1630203775471934,0.7172717271727173,0.9423174004688326
frozenset({'Q3_Man'}),frozenset({'Q11_< 1 years'}),0.1630203775471934,0.21416840030658052,0.9423174004688325
frozenset({'Q5_Yes'}),frozenset({'Q8_Master’s degree'}),0.17418844022169439,0.3494691079341192,0.9173277382514832
frozenset({'Q8_Master’s degree'}),frozenset({'Q5_Yes'}),0.17418844022169439,0.45723036534675127,0.9173277382514832
"frozenset({'Q3_Man', 'Q5_Yes'})",frozenset({'Q8_Master’s degree'}),0.12626578322290286,0.3434595329857175,0.9015530970310942
frozenset({'Q8_Master’s degree'}),"frozenset({'Q3_Man', 'Q5_Yes'})",0.12626578322290286,0.33143732224896083,0.9015530970310942
frozenset({'Q5_Yes'}),"frozenset({'Q3_Man', 'Q8_Master’s degree'})",0.12626578322290286,0.2533233007273639,0.872291469013424
"frozenset({'Q3_Man', 'Q8_Master’s degree'})",frozenset({'Q5_Yes'}),0.12626578322290286,0.43478260869565216,0.872291469013424
frozenset({'Q8_Bachelor’s degree'}),frozenset({'Q5_No'}),0.1281410176272034,0.40327868852459015,0.804044424104735
frozenset({'Q5_No'}),frozenset({'Q8_Bachelor’s degree'}),0.1281410176272034,0.2554835493519442,0.804044424104735
